num_conn,startTimet,orig_pt,resp_pt1,orig_ht,resp_ht,duration,protocol_type,resp_pt2,flag,src_bytes,dst_bytes,land,wrong_fragment,urg,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_hot_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate_sec,rerror_rate,srv_error_rate_sec,same_srv_rate,diff_srv_rate,dst_host_diff_srv_rate,count_100,srv_count_100,same_srv_rate_100,diff_srv_rate_100,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rat,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate
1,1580559788.769323,61865,199,127.0.0.1,127.0.0.1,3.5e-05,tcp,199,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1580559788.7693892,61865,445,127.0.0.1,127.0.0.1,1.6e-05,tcp,445,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
3,1580559788.769431,61865,554,127.0.0.1,127.0.0.1,1.6e-05,tcp,554,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
4,1580559788.769473,61865,3389,127.0.0.1,127.0.0.1,1.6e-05,tcp,3389,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
5,1580559788.769514,61865,3306,127.0.0.1,127.0.0.1,6.4e-05,tcp,3306,RSTOS0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
6,1580559788.769609,61865,256,127.0.0.1,127.0.0.1,1.7e-05,tcp,256,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.0,0.0,0.8,0.0,0.0,1.0,0.0,5,0,0.0,1.0,1.0,0.0,0.0,0.0,0.8,0.0
7,1580559788.769651,61865,1720,127.0.0.1,127.0.0.1,1.8e-05,tcp,1720,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0.0,0.0,0.833333,0.0,0.0,1.0,0.0,6,0,0.0,1.0,1.0,0.0,0.0,0.0,0.833333,0.0
8,1580559788.7696948,61865,587,127.0.0.1,127.0.0.1,1.6e-05,tcp,587,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0.0,0.0,0.857143,0.0,0.0,1.0,0.0,7,0,0.0,1.0,1.0,0.0,0.0,0.0,0.857143,0.0
9,1580559788.769737,61865,23,127.0.0.1,127.0.0.1,1.6e-05,tcp,23,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,0.875,0.0,0.0,1.0,0.0,8,0,0.0,1.0,1.0,0.0,0.0,0.0,0.875,0.0
10,1580559788.769778,61865,22,127.0.0.1,127.0.0.1,3.7e-05,tcp,22,RSTOS0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.0,0.0,0.8888889999999999,0.0,0.0,1.0,0.0,9,0,0.0,1.0,1.0,0.0,0.0,0.0,0.8888889999999999,0.0
11,1580559788.9564788,61865,53,127.0.0.1,127.0.0.1,3.5e-05,tcp,53,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0.0,0.0,0.8,0.0,0.0,1.0,0.0,10,0,0.0,1.0,1.0,0.0,0.0,0.0,0.8,0.0
12,1580559788.956542,61865,5900,127.0.0.1,127.0.0.1,1.6e-05,tcp,5900,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0.0,0.0,0.818182,0.0,0.0,1.0,0.0,11,0,0.0,1.0,1.0,0.0,0.0,0.0,0.818182,0.0
13,1580559788.956584,61865,8080,127.0.0.1,127.0.0.1,1.6e-05,tcp,8080,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0.0,0.0,0.833333,0.0,0.0,1.0,0.0,12,0,0.0,1.0,1.0,0.0,0.0,0.0,0.833333,0.0
14,1580559788.956625,61865,995,127.0.0.1,127.0.0.1,1.6e-05,tcp,995,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0.0,0.0,0.8461540000000001,0.0,0.0,1.0,0.0,13,0,0.0,1.0,1.0,0.0,0.0,0.0,0.8461540000000001,0.0
15,1580559788.956666,61865,993,127.0.0.1,127.0.0.1,1.6e-05,tcp,993,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0.0,0.0,0.857143,0.0,0.0,1.0,0.0,14,0,0.0,1.0,1.0,0.0,0.0,0.0,0.857143,0.0
16,1580559788.956707,61865,111,127.0.0.1,127.0.0.1,1.6e-05,tcp,111,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0.0,0.0,0.866667,0.0,0.0,1.0,0.0,15,0,0.0,1.0,1.0,0.0,0.0,0.0,0.866667,0.0
17,1580559788.956747,61865,1723,127.0.0.1,127.0.0.1,1.7e-05,tcp,1723,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0.0,0.0,0.875,0.0,0.0,1.0,0.0,16,0,0.0,1.0,1.0,0.0,0.0,0.0,0.875,0.0
18,1580559788.956789,61865,80,127.0.0.1,127.0.0.1,1.6e-05,tcp,80,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0.0,0.0,0.882353,0.0,0.0,1.0,0.0,17,0,0.0,1.0,1.0,0.0,0.0,0.0,0.882353,0.0
19,1580559788.95683,61865,8888,127.0.0.1,127.0.0.1,1.6e-05,tcp,8888,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0.0,0.0,0.8888889999999999,0.0,0.0,1.0,0.0,18,0,0.0,1.0,1.0,0.0,0.0,0.0,0.8888889999999999,0.0
20,1580559788.956871,61865,135,127.0.0.1,127.0.0.1,1.6e-05,tcp,135,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0.0,0.0,0.8947370000000001,0.0,0.0,1.0,0.0,19,0,0.0,1.0,1.0,0.0,0.0,0.0,0.8947370000000001,0.0
21,1580559788.9569118,61865,1025,127.0.0.1,127.0.0.1,1.6e-05,tcp,1025,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0.0,0.0,0.9,0.0,0.0,1.0,0.0,20,0,0.0,1.0,1.0,0.0,0.0,0.0,0.9,0.0
22,1580559788.956953,61865,110,127.0.0.1,127.0.0.1,1.6e-05,tcp,110,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0.0,0.0,0.9047620000000001,0.0,0.0,1.0,0.0,21,0,0.0,1.0,1.0,0.0,0.0,0.0,0.9047620000000001,0.0
23,1580559788.956994,61865,143,127.0.0.1,127.0.0.1,1.6e-05,tcp,143,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0.0,0.0,0.909091,0.0,0.0,1.0,0.0,22,0,0.0,1.0,1.0,0.0,0.0,0.0,0.909091,0.0
24,1580559788.957035,61865,443,127.0.0.1,127.0.0.1,1.6e-05,tcp,443,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0.0,0.0,0.913043,0.0,0.0,1.0,0.0,23,0,0.0,1.0,1.0,0.0,0.0,0.0,0.913043,0.0
25,1580559788.957077,61865,139,127.0.0.1,127.0.0.1,1.4999999999999999e-05,tcp,139,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0.0,0.0,0.916667,0.0,0.0,1.0,0.0,24,0,0.0,1.0,1.0,0.0,0.0,0.0,0.916667,0.0
26,1580559788.957117,61865,21,127.0.0.1,127.0.0.1,1.6e-05,tcp,21,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0.0,0.0,0.92,0.0,0.0,1.0,0.0,25,0,0.0,1.0,1.0,0.0,0.0,0.0,0.92,0.0
