num_conn,startTimet,orig_pt,resp_pt1,orig_ht,resp_ht,duration,protocol_type,resp_pt2,flag,src_bytes,dst_bytes,land,wrong_fragment,urg,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_hot_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate_sec,rerror_rate,srv_error_rate_sec,same_srv_rate,diff_srv_rate,dst_host_diff_srv_rate,count_100,srv_count_100,same_srv_rate_100,diff_srv_rate_100,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rat,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate
1,1580558698.06544,44471,53,127.0.0.1,127.0.0.53,0.0,udp,53,OTH,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1580558702.101313,56879,5683,127.0.0.1,127.0.0.1,0.0,udp,5683,OTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1580558702.101357,3,3,127.0.0.1,127.0.0.1,0.0,icmp,3,SH,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1580558702.1013892,56879,54277,127.0.0.1,127.0.0.1,0.0,udp,54277,OTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,0,0.0,1.0,0.333333,0.0,0.0,0.0,0.0,0.0
5,1580558702.101357,3,3,127.0.0.1,127.0.0.1,5.2000000000000004e-05,icmp,3,SH,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.333333,0.666667,0.0,3,1,0.333333,0.666667,0.25,0.0,0.0,0.0,0.0,0.0
6,1580558702.101435,56879,30867,127.0.0.1,127.0.0.1,0.0,udp,30867,OTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4,0,0.0,1.0,0.4,0.0,0.0,0.0,0.0,0.0
7,1580558702.101357,3,3,127.0.0.1,127.0.0.1,9.8e-05,icmp,3,SH,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0.0,0.0,0.0,0.0,0.4,0.6,0.0,5,2,0.4,0.6,0.333333,0.0,0.0,0.0,0.0,0.0
8,1580558702.10148,56879,53908,127.0.0.1,127.0.0.1,0.0,udp,53908,OTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6,0,0.0,1.0,0.428571,0.0,0.0,0.0,0.0,0.0
9,1580558702.101357,3,3,127.0.0.1,127.0.0.1,0.00014199999999999998,icmp,3,SH,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0.0,0.0,0.0,0.0,0.428571,0.571429,0.0,7,3,0.428571,0.571429,0.375,0.0,0.0,0.0,0.0,0.0
10,1580558702.101525,56879,12550,127.0.0.1,127.0.0.1,0.0,udp,12550,OTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8,0,0.0,1.0,0.44444399999999995,0.0,0.0,0.0,0.0,0.0
11,1580558702.101357,3,3,127.0.0.1,127.0.0.1,0.00018700000000000002,icmp,3,SH,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0.0,0.0,0.0,0.0,0.44444399999999995,0.555556,0.0,9,4,0.44444399999999995,0.555556,0.4,0.0,0.0,0.0,0.0,0.0
12,1580558702.10157,56879,49856,127.0.0.1,127.0.0.1,0.0,udp,49856,OTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10,0,0.0,1.0,0.454545,0.0,0.0,0.0,0.0,0.0
13,1580558702.101357,3,3,127.0.0.1,127.0.0.1,0.00023199999999999997,icmp,3,SH,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0.0,0.0,0.0,0.0,0.454545,0.545455,0.0,11,5,0.454545,0.545455,0.416667,0.0,0.0,0.0,0.0,0.0
14,1580558702.101614,56879,44212,127.0.0.1,127.0.0.1,0.0,udp,44212,OTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12,0,0.0,1.0,0.461538,0.0,0.0,0.0,0.0,0.0
15,1580558702.101357,3,3,127.0.0.1,127.0.0.1,0.000276,icmp,3,SH,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,0.0,0.0,0.0,0.0,0.461538,0.538462,0.0,13,6,0.461538,0.538462,0.428571,0.0,0.0,0.0,0.0,0.0
16,1580558702.101659,56879,40833,127.0.0.1,127.0.0.1,0.0,udp,40833,OTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14,0,0.0,1.0,0.466667,0.0,0.0,0.0,0.0,0.0
17,1580558702.101357,3,3,127.0.0.1,127.0.0.1,0.000321,icmp,3,SH,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,0.0,0.0,0.0,0.0,0.466667,0.533333,0.0,15,7,0.466667,0.533333,0.4375,0.0,0.0,0.0,0.0,0.0
18,1580558702.101703,56879,62404,127.0.0.1,127.0.0.1,0.0,udp,62404,OTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16,0,0.0,1.0,0.470588,0.0,0.0,0.0,0.0,0.0
19,1580558702.101357,3,3,127.0.0.1,127.0.0.1,0.000365,icmp,3,SH,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8,0.0,0.0,0.0,0.0,0.470588,0.529412,0.0,17,8,0.470588,0.529412,0.44444399999999995,0.0,0.0,0.0,0.0,0.0
20,1580558702.101748,56879,8702,127.0.0.1,127.0.0.1,0.0,udp,8702,OTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18,0,0.0,1.0,0.473684,0.0,0.0,0.0,0.0,0.0
